post_txt,is_slang
"{$SVAV} Есть какая-нибудь инфа по ней?
А у меня для вас есть Прем ? https://www.tinkoff.ru/sl/70R4s9fq3v",0
"Покупал Русснефть на пробой, идея отработала за 10 мин, пост даже сюда продублировать не успел ! 

Публичную позицию закрыл?",0
"{$BBBY} До этого они на лярд выкупили акции, теперь опять размещают все норм.. Едем дальше завтра затарю на всю тефтюлю по 4 если дадут, гэпы наверху самое то закрыть..",1
"@25cf055b-1543-47a8-b22e-4aa51b124f7b спасибо большое, что отметили меня ???",0
{$2015} когда разблокируют!!!пора бы уже!!!,0
{$EAR} шортисты отзовитесь ? Кто ждёт 1.7 сегодня?,1
{$SBER} по MACD на месячном разворот. Скоро вверх выстрелит,0
"{$VTBR} возможно сделал глупость, но вышел в 0 по Втб на предоставленной сегодня возможности, в портфеле оставил только Сбер из банков. По ВТБ смущает что у банка и так есть проблемы, так ещё и собирается банк Открытие у цб выкупить.",1
{$POLY} золото снова вверх,0
{$IRAO} а теперь медленно и постоянно вверх к 4-ке.,0
{$RNFT} да вы чего все же в грудь долбили мега гэп вверх будет в пн,1
"{$OZON}, привет Пульсяне.
Вчера продал весь озон, сегодня ожидаю падение акций до 1320.",0
"{$GAZP} много мнений, очень много!
И со всей информации, выделяется только то, что Газпром придерживают!!! 
Вот здесь уже реально можно понять, хотя и раньше та же хрень!!!
По реалии того что видим, вся биржа, ВСЯ, идёт вверх, а Газпром, с его колоссальными объемами, ТИПА НИ КОМУ НЕ НУЖЕН....!!!????
Ну господа, товарищи, это же полный Бред!!!!!
Уже внаглую держат, для КОГО-ТО!?
????",0
"{$ROSN} бегите отсюда пока цена норм
Это фейк рост",0
"$LNZL бумага находится в консолидации при пробитии вверх увидем на 19000, так же есть шансы и на разворот, эта бумага у меня в портфеле гна все бабки )))",1
{$ASTR} если только NASA ещё пару спутников подкинет на запуск и главное не облажаться,0
"{$RIG} я купил его за 3 бакса

Но продавать не хочу ибо я не квал.

Спасибо родине за то что заботится обо мне и не позволит продать и купить риг обратно за 2 бакса",1
"{$SBER} прям ООО рога и копыта с нулевой прибылью, кто это покупает? :)",0
{$SBER} подскажите стопы выбивает на внебиржевой?,1
"{$FEES} {$VTBR} 
Долго слежу за этими акциями. В скором времени ожидаю хороших движений.
По ТА все готово к росту.
Как бы тут не изливали желчь сторонники фундаментала или ещё чего-то там?

Движение жду на 20% вверх. 

Не является ИИР
Просто себя проверю, как обычно.

#прогноз_bud_vodoi #сделки_bud_vodoi",1
"{$ORUP} алло, это МММ Обувь России? Можно мне пожалуйста закрыть стоп лимит на 10,6р?",0
{$UPRO} похерили весь дневной рост,0
{$TCSG} Чет мы не повалились на новости про SWIFT? даж странно,1
{$SBER} И в чем был смысл пампить на ночь?,1
"{$UNKL}
Залетел сюда просто на рандоме, чисто 2 акции посмотреть. Жду небольшого рывка вверх
#идея_на_миллион",1
"{$BSPB} 26 числа утром увидим 91,7 или придётся до 75 сходить и только потом обратно на 100?",0
{$ASTR} сегодня она гэпом вверх откроется процентов на 50?,1
{$SGZH} ну куда ты падаешь кусок ?,1
{$COIN} на какой волшебной тяге она вверх идёт теперь?,0
"{$LKOH} забавно смотреть как многие люди «прогнозируют» стоимость акций и как все обламываются, трейдерки, занимайтесь долгосрочным инвестированием а не казино",1
{$PIKK} даже верх не идёт,0
"{$CGEN} вот жеж действительно первая из ""дерьма восстающая"" акция из моего американского портфеля)",0
"Тинек, что за ерунда с приложением творится? За что я тебе деньги плачу?",0
"{$UWGN} покупай, подешевело",0
{$DSKY} видимо 50 уже не пробьет) мог со вчера так и сидеть со средней 50.4,0
"{$MOEX} это просто треш, неугомонная, когда ты свалишься???",0
{$ABRD} главное чтобы слива сегодня не было),1
{$SBER} ого) ведь видел что хочет вниз) держали цену) а сегодня на тебе)) зря я вчера вышел. Объём был 25000 акций) эх. Подождём ),1
"Закрыл шорты по сберу, ммвб и ртс",1
{$BBBY} че реддиты опять пробуют или новость?,1
"{$SBER} прям Лен золото перед дивами, все говорят, что кукан скоро, а она растёт себе",1
{$MVID} покупал до Сво. Вот это неудачная бумага.,0
"{$SPCE} Галя, ну где наши иксы?",1
{$BYSI} объём за день 65 тысяч. Вообще нет интереса к нашей бумаге ? меньше только не знаю даже в какой!,0
"{$MOEX} лучше бы Транснефть купил, растиииииии пжл",0
"•Держим {$SBER} готовимся к дивам. 
•Сливаем деньги на {$FESH} 
•Чилим?",1
{$GAZP} это продуманная афера с дивами я выскочил из этой электрички за весь день только и падает что то ребята неладное злесь,1
"{$YNDX} а чего вы радуетесь? Фиксируйте если есть что. На выходные шорты закрыли в понедельник снова откроют. Как минимум ретест 1810, а там и ниже можно свозить.",1
{$NAZ2} на 10к бы сходить и отскочить потом процентов на 10-15% ?,0
"{$NGG3} судя по месячному графику Базы, мы увидим Газ в зоне 2000-2050

Кто в Лонгах, просто жесть ?",1
{$LIFE} телеграф на взлёт все сюда,1
"{$EAR} дневной тренд развернулся вверх, по графикам нужно брать, докупил",1
"{$ROSN} Исходя из того, что мы в Польше «не при чем», вполне можно ожидать возвращение вверх сегодня-завтра при благоприятном новостном фоне.",0
"{$KMAZ}
Покупал по 108, три недели стояла вообще без движения. По 112 продал, когда тронулась. И тут решила на 70% вверх. Чудо рынок",1
{$POLY} а когда лучше то….,0
"{$SBER} А в Москве снег, значит акция Сбербанка вверх? Аналитика уровня Пульс.

Не ИИР, не повторять?",0
"{$EAR} а взял их 1.57 и слил, когда 1.2 было",1
Всё хорошо только в понедельник,0
"{$VTBR}
0,02163 точно будет. Это +50% от минимума. Сбер +112% сделал.",0
"{$MARA}
Похоже через пару лет выйдем в +)) 
Высадят нервных и вверх. Чисто моё мнение нужно красные цифры сделать синими и не так будет раздражать?",0
{$POLY} а потом ещ? выше,0
"#идея_на_миллион
Купила {$FLOT}
12 апреля, в мой день рождения обсудят дивы?, а вдруг и дадут? ???",1
"{$RIG} Дамир Закиров , тут ник был DIN..., Пишет на 14,идём, многие его помнят когда покупали на 0.67 и ждали чуда, он вёл тут трансляцию с суда в америке",0
"{$COIN} на пульсе 62% считают что вверх, слишком рано ему вверх , ещё холдеров не брили совсем",1
{$NAZ2} остались ещё те кто верит в шорт?),1
"{$TGLD} #идея_на_миллион 
Потому что золото всегда в цене!",0
{$NGG3} сиплый вниз смотрит,0
{$ARVL} с Диванов сюда решили зайти),0
"Выселение монахов из Киево-Печерской лавры. Что об этом известно

УПЦ пообещала защищать свои святыни в украинском суде",0
"{$BBBY} на открытии слив жесточайший, потом разворот по классике, ну и вверх ?",1
"{$SKLZ} сим салабим, отскок прийди !!!! Это я таксисту снизу, утром сказал , вёз меня по делам )",0
"{$YNDX} 2000 потом 2100
#идея_на_миллион",0
{$TCSG} ждем открытие с движения вверх. ?,0
"{$SiZ2} {$USDRUB} 
Вспомните весну расхождение было +6 рублей премия фьючерса к базовому. И тогда бакс здорово летел вниз. 
Нормально - кто шортил, заработали и на дальнейшем падении и на схлопывании спреда. 
Так что все ок. -4,5 руб сегодня, а бакс продолжает расти. Все в точности до наоборот .",1
{$GAZP} всё на Газпром! Посмотрим что будет в понедельник,0
"{$CLOV}
Harasho, harasho,
I run this freakin’ show!
You think I can’t speak English?
There’s nothing I don’t know

Кстати, фокс ньюс модераторам, нынче туда детей набирают каких-то неадекватных",0
{$BNGO} что вообще происходит с ликвидностью??? Хрень какая то...,0
{$NEOG} цель 26?),0
"{$SAVA} блин, сегодня крайний день как надо выйти отсюда, а она расти не хочет. Вообще ни туда ни сюда … после года ожидания",0
{$NMTP} ну тут конечно прям как будто хотят слить.,1
"{$LKOH} компания вообще пушка. Нет сомнений, что только вверх",0
"Ещё раз повторю   кто хочет тот купит никого не заставляю .  
Покупаю Global trans в 23:00",0
"{$TAL} {$SPCE} {$USDRUB} Ребятки закрывайте позиции, скоро все заблокируют и отберут, я остаюсь вас прикрою ?",0
{$RU000A103D37} а хде деньги пришли кому? В чей карман упали признавайтесь ?,0
"{$NGF3} {$NGG3} кто ловит отскок?

Он есть! Его просто за трендом не видно, но если голову наклонить:",1
"•Сегодняшний день на бирже был интересен , и не важно что всё пошло не так ,как хотелось , но мы исходим из того что, мы профессионалы, хоть и начинающие, спасибо Всем до понедельника, и мы разорвет эту биржу ,если получится .Всем доброй ночи .....",0
{$GAZP} у тка про забастовку с утра понравилась,0
"{$LIFE} капец Соллерс опять улетел, а мы фигнёй занимаемся ппц.",1
{$USDRUB} Опять на писят сходим,0
{$NGF3} прикольно )))) когда вышел )))),0
{$KZOSP} ну чудо будет? Давай кукл вези работяг на вверх,0
{$MARA} у меня никогда не было +20%. Хотелось бы успеть зафиксировать. Ну пожаааааалуйста?,0
"{$GAZP} каждый день, новое дно + боковик.",0
{$NKHP} что делать рубить лося? Пока не поздно?!,1
"Просто возьми мои деньги.

{$MAGN} 

#металлургия #ММК #акции #что_купить #прояви_себя_в_пульсе",0
"{$TSLA} сумашедшая бумага за 10 минут туда сюда сходила. 
Хорошо нервы прорабатывает ?",1
"{$MOEX} ранее на выходных я писал про рост ,теперь будет спад ,так что берегите свои лонги ....",1
{$NKNC} с утра сказал об этой бумаге,0
{$SiZ2} прикол если открытие с гэпом вверх будет ?,1
{$RUAL} Опять Тормозофф тормозит!!! Только я не могу купить?,0
"{$RRGB} да доползи уже для приличия до 8,5 хотя бы…. Совсем без движений… по 0,03 туда-сюда гоняет… ты sldb чтоли?!",1
{$TRNFP} рост ждать к середине сентября?,0
"•Решил запрыгнуть в последний вагон и взял {$TRUR}  Тинькофф #идеа_на_миллион
•Выйграю миллион весь закину в вечный портфель.",0
{$MGNT} что у магнита опять месячные ???,0
{$GLTR}  ну и долго тут будет боковик.весь день будет так болтаться? И народ вы чё здесь даже не комментирует не общаетесь????,1
"{$SBER@GS} столько ждали. Подождите ребята и девчонки ещё 2 дня! Хотя это будет понедельник , но я напьюсь!",0
"{$UPRO} никто не знает куда цена пойдёт, но она неожиданно куда то идёт ?",0
"{$SBER@GS} вот и весь ответ от Тинькофф, когда это произойдёт",0
"{$TSLA} еще не 220? Странно, по моим графикам уже должна быть 220. Надо перепроверить. Ну значить не сегодня, а завтра. Мишка знает, что говорит. Потом не говорите, что я не предупреждал, я потом вам скажу, что я же говорил. (Вообще большого ума не надо, чтобы подобную чушь писать).",0
"{$MRKP} объем не вышел че все побежали то, давай вверх.",0
"{$NGF3} судя по страху, можно покупать ?

Люди сравнивают  то, что произошло в ковид, которого никто не ждал + закрытием стран, с тёплой зимой ??",0
"{$NGF3} Много шортов, скоро будет много стрингов. А вот что говорит ТА. КАРТИНКИ",1
{$BSPB} я боюсь что это был чей то стоп ?,0
"{$DSKY} только в рост, жду минимум 55",0
{$POLY} эта красотка чем то напоминает мне историю с Цианом. Когда он необоснованно рос и этим ростом порвал стринги у многих,1
"{$TSLA} Макс не покупай свиттер, зачем он тебе?",1
"{$GAZP} Зашёл опять сюда, верим в нац. достояние ???. Как никак трудимся в НЁМ. ИНВЕНТАРИЗАЦИИ, РОСТ, И БОЛЬШОЕ СВЕТЛОЕ БУДУЩЕЕ ??????",0
{$LKOH} как все предсказуемо…сейчас может ещё пониже чуть сходит и вверх,0
"{$LNZL} ух, завтра самолёт, спасибо родная! даёшь выйти из минусов, закрываешь долги,кредиты, ипотеку))) верю в тебя(т.е. в тех инвесторов, которые верят в тебя)))завтра продолжим! +7-8к, оборот 2 млн.для меня мамкиного инвестора, хомяка общипанного это норм, завтра надеюсь квала получу.",1
"{$RU000A104WS2}

Всем привет! Кому нибудь пришли купоны по этой облигации?",1
"{$MARA}
Завтра должны биток вверх ещё вытянуть в начале сессии. Можно будет пошортить все что взлетит.  Клинспарк в космос улетел. Как вариант",1
"{$MRKP} никакого роста, каждый, даже совсем маленький вынос гасят )",1
"{$SBER} где подбирать?? Купить сбер по 90 руб или 40 руб? Кто реально сможет предсказать?? И если поползли слухи, что НРД готовы разблокировать,  может и мы откроем торговлю для нерезов?? Как бы Дно уже в ПН будет выбито",1
"{$NGH3} когда нибудь я научусь вставать в четверг в шорт, но это будет уже совсем другая история!)",1
{$COIN} лонг на мужика,1
"{$TCSG} куда вниз вверх завтра , купить хочу",0
"{$ARVL} А я ни разу не была в Арвильчиках до этого дня
Точнее до вечера
Но когда сюда сегодня ребята пригласили меня
Осталась бы навечно
Арвильчики, Арвильчики, такие вечеринки
Зелёные тропинки, где тихо и свежо
брюнетки и блондинки
Серёжки и Маринки
Эй, диск-жокей, заряжай обратный сплит!",0
{$GAZP} ну и не такой большой гэп,1
{$GAZP} ну что за бред творится,0
"{$POLY} отличные движения, было бы ещё лучше, если бы не было минуса, но сейчас я его откупаю ?",0
"{$ISKJ} видимо , никто пампить её и не собирался , все тухло как-то(",1
{$TCSG} только у меня шорт не работает ?),1
{$ASTR} наша шляпа тянет сиплого..во дела,1
{$LNZL} могу одно сказать.  Тянут цену акции вот сюда. Целый день.,0
"{$PHOR} КуйбышевАзот дивиденды опубликовал 3.72%, а фосагро молчит?",1
{$SPCE} Цену в 10 верите ?,0
Американские акции выросли впервые за четыре сессии,0
"{$BBBY} доброе утро. Ну что, готовы?",0
"{$IRAO} Есть предчувствие, что вот-вот рванет вверх!",0
"{$VIPS} Лана, Илья, Андрей!? Как дела!? в лонгах надеюсь? Я в аэропорту телефон потярял(((",1
"Покупаю {$SMLT} в рамках моей стратегии по текущей цене 
Тп 2790
#моястратегия",1
{$LIFE} Полностью повторила вчерашний день. День сурка. Ждём пампа?,1
"#идея_на_миллион 

{$SBERP} 
Расширяю свой портфель верю в светлое будущее
#идея_на_миллион",0
{$AFLT} птичка пора взлетать???а то мой кот сейчас покраснеет и тебя скушает.....давай на ВЗЛЁТ????,1
"{$USDRUB} потом не говорите, что я вас не предупреждал
Скоро пойдём на 55",0
"{$YNDX} раздувают-то как, неужели есть те, кто по этой цене покупают?",0
"{$GLTR} скоро вернутся в Россию и будут дивы, цена взлетит)",0
{$NVDA} чето очково прям (((?,0
{$MTLR} А те кто пампили акцию фиксироваться собираются?,1
"{$TTWO}  ну не знаю , по 96.5 даже заявка не прошла хоть и ниже было О)",0
"{$BELU}
Когда никто не ждал
???",0
{$NVTA} количество ценных бумаг всего лишь 25 млн штук. Следовательно если каждый инвестор купит ее себе в портфель хотя бы 100 шт. Цена улетит в космос ?,1
"{$GAZP} гэп закрыли, как кто-то и писал наш ждёт великое закрытие гэпа, видно это оно самое было.",1
"@22224277-cc37-4830-bef0-b644db3d9d0b переходи на новый уровень, не просто футболки, а футболки с веселыми надписями )))) По типу той, что на картинке ?",0
{$SBER}  тоже ждете дивидендики?)))))),1
"{$TSLA} Общался сегодня с Илоном по Starlinky,он просил меня всем пульсянам передать инсайд?",1
"{$SBER} а сбер типа не удел, пуки пуки от Сбера, достал",0
{$UWGN} опять развели дурачков,0
{$GAZP} с 225 шортик пойдёт прям по норм обьему,1
"{$CGEN} эх,выкупил б их кто нибудь за 50 баксов",0
"Rent-A-Center сменила наименование

Речь идет об американской компании по сдаче в аренду различных предметов",0
{$TMOS} покупаю почти каждый день считаю неплохим вложения денег и надеюсь выйграть #идея_на_миллион,0
"{$MAGN} ребята чем дальше тем глубже, каждый поймёт скоро уверяю вас???? бабло тратить надо в другом месте думаю",0
"{$MGNT}  лайк Диз , подписка 

почти дошли до 4350
Я не за компом, скорей всего плотно легли на линию восходящего тренда, много раз от неё уходили вверх (но не обязательно )


Пост про 4350
https://www.tinkoff.ru/invest/social/profile/Aleksei1983D/951485cd-6c76-423f-a6c3-0828cb2e8f24?utm_source=share",0
"{$GAZP} Товарищи Пульсяне как вы думаете ,будет ли запуск последней турбины 3 сентября?",1
{$RNFT} {$UWGN}  вернулся с вагонов  сюда,1
"{$MOEX} новый девиз, Я сама по себе???",0
{$BBBY} @25cf055b-1543-47a8-b22e-4aa51b124f7b а че не 25-го ?,0
{$POSI} а был близок со своим прогнозом 1739 руб,0
"{$CGEN} Шикарный день, продолжаем покупать компуген по скидкам.",1
"{$GAZP} кто нибудь проясните, что вообще происходит? Что опять крупник спецом бумагу валит? ?",1
"{$TRUR}

Вопрос. Раз тут всё пытаются квалов получить, то пишу сюда:

Кто-нибудь знает, может ли квалифицированный инвестор дарить купленные акции неквалифицированному инвестору? Я имею ввиду, естественно, те акции, которые не имеют право покупать неквалы...",1
"{$TAL} потихоньку нас приучают что отожмут заблокированные. Сначала обнуляют на пару минут, потом на 10. И тд. Дальше больше",0
"{$GAZP}  господа, надо валить с биржи",0
"{$AFKS} Вовремя взял, рост попер))",0
"{$SPCE} каждый день по десятку постов «взял этот мусор, блаблабла». Интересно, самих себя еще не утомили? 
Если мусор, зачем покупали, чтобы ныть потом сидеть?",0
{$POLY} чёт про золото все и забыли уже),0
"{$WISH} {$CLOV} {$ASTR} индексы ростут,все падает . Что за хрень ????",0
"{$FESH}  если бы ее хотели укатать 
Укатали бы ещё в пятницу",1
{$KROT} {$MGTSP} {$MSTT} больные на голову хомяки... Вы когда это остановите наконец-то??,0
{$ORUP} движуха будет???или до понедельника?,0
{$CNTLP} Вчера примерно также было? и к 6 взлет,0
"{$CHFRUB} приветик всем, а когда дивы?",0
"{$CHMF} а чего пост удалили?
Тяпкофф боится баблишко потерять, если юзеры будут писать, что выходят из этого казино?)

Бросайте вы эти инвестиции, лучше купите себе  чего-нибудь, денежка целее будет",1
"$LKM3Сегодня ещё тяжелее, пытается шевельнутся вверх, на пресс не даёт.",1
"{$CNTLP} я конечно говорила что больше не буду ,открытым позиции оставлять на утро ?но придется опять нарушить",1
"{$SBER} закрыл шорт по тейкам, рановато конечно, но главное выполнить цель, а не  казино тут устраивать",1
"{$CRH3} Шортисты, уже время вверх. ???. Берегите депо?",1
$GAZP что за крень в стакане продают дешевле чем покупают и ничего не покупается?,1
"?Никогда ещё в человеческой истории столь многие не зависели от столь немногих.
Уинстон Черчилль
#заметки_инвестора",0
"{$NGH3} толпа хомяков говорит, что будет вниз, значит идем вверх.",1
"{$SBER} да не с чему пока падать. Весь негатив уже в цене, коррекция прошла без ущерба, индексу дорога вверх.. Думаю резких движений не будет, поползет вверх",1
{$USDRUB} пора и с горки... Не ИИР.,0
"{$PLZL} вот вам гэп, и все на свете. У меня уже полные штаны от страха....",1
"$AMEZесть смысл щас ещё покупать, ток продал",0
"?Сбер {$SRH3} - отлично отработал свой дополнительный потенциал сверх большой маржинальной зоны.
Причем, как только цена по базе {$SBER} зашла в целевую область 168-170 - сразу же пошла реакция.

Теперь также как с Газом и Золотом, нужно набрать новых позиций перед дальнейшим движением в какую-либо сторону.

#Сбер
#фьючерсы 
#маржинальныезоны",1
"{$SPCE}
Кто нибудь пробовал купить/продать?))
Работает ли вообще?",0
"{$BABA} да она ж внутри фигуры гуляет что вы от нее хотите, как выйдет вниз надо выходить, если вверх то я уже тут сижу)))",1
"{$TATN}
{$TTH3} 
Открыли шорты опять...",1
"{$PHOR} с чего все взяли что ливы будут завтра?
Последний день покупок 29го сентября , а потом выплаты.",1
{$RUAL} амеры не дураки под себя копать,0
"{$CVNA} ситуация напрягающая.
Кто сидит растит лося, на что надеетесь?
Средняя 12",1
"Доброе утро, друзья)
Лонг #YNDX


Цель:2%



Стоп:2%",1
"{$SNGSP} лезет вверх, а там хрясь её.... И вниз опять, отскочет, И вверх опять....???",0
"#идея_на_миллион продолжаю покупать {$TMOS} уже есть шансы выйти в 0 хотя бы. Но думаю, что вернётся на круги своя и будет дальнейший рост ??",0
{$PHOR} Ребята страшно?,0
{$APTK} щас все мужики побегут скупать Виагру),0
"{$INTC} очередной рывок вверх, чтобы потом опять вниз???",0
"{$POLY} доходил до 520,теперь не советую шорт,лучше вверх",1
"{$AFLT} мм гони гони вверх, пусть лонгисты хоть закроются в + и выбигут с этого мусора.",1
"{$SBER} кофейная гуща подсказала, что сегодня Сбер снова вверх скорее всего?

Новостной фон как не нагнетается (геополитический), но всё ещё недостаточно негативен.",0
"{$LKOH} Друзья если кто то еще не ориентируется хоть как то по тому как может себя повести рынок ,  то смотрите рынок америки , закрылся в минус у нас будет так же. Один из параметров.",0
{$NGX2} так сегодня в итоге последний день? Или в понедельник еще торговаться будет?,0
"{$SPBE}  2,7$ Помогите, спасите, падает , Скам бумажка, банкрот..??, ?
Дайте нам ее по 4 мы скупим ВСЕ !!!???",1
"{$TSLA} удивительно, сколько людей каждый день спрашивают «что с ценой»????",0
{$SBER} а когда будет новость что сбер по России закрыл много отделений в этом году?,0
"{$ENDP} люди, вы че не понимсете? Что бы был рост, нужно 0,20-+ , что бы большие дядьки с обьемами вошли",0
"{$SBER} Сегодня вообще объемов нет, будто вымерли все и сбер продают пару людей",0
"{$BELU} 
Опять пошёл разгон бумаги - до чего же она хороша и перспективна . ?

В прошлом году было приблизительно тоже самое - но инфоповод был другой - скоро Новый Год и Рождество - как они много заработают на этом . ?

Бумага прилично выросла в цене - а потом пошла в пике . 

Так что будьте осторожны - кто её сейчас покупает .",1
"{$WISH} виш виш как всех разводишь.
Как говорил один человек, если ты потерял деньги, значит так надо было, прими, отпусти и не грусти. 
Деньги либо тебя любят, либо нет.
с. Люди великих цитат.",1
"{$NGG3}
Перед падением на 2$ теперь будет долгий флэт на 2,5$ и потом еще полгода на 2$. 

Зачем его вообще покупать? И в шорт тоже смысла нет...",1
{$BRJ3} {$BRK3} шортить нельзя. Лонг,1
"{$SI} такое ощущение, что сейчас укатают , а потом найдёт добродетель который выкупит этот банк, но для начало надо всех вытряхнуть",1
"{$GAZP} вот мы к чему пришли.... Печально.... А кто то говорил, что веру в Газпром можно легко вернуть и в России не возможно испортить репутацию!",0
{$BBBY} держите! Будет весело),0
$SBERголова плечи но это уже не работает куда надо туда повезут.,0
{$POLY} Полина шизу поймала под конец,0
"{$GAZP} у меня завтра день рождения , рассчитываю на вас тинькофф , очень хочу пару акций обуви России или втб",0
{$NVTA} Надежда на конференцию осталась получается,0
"{$GAZP} 135,все аналитики кричат.",0
"{$ABRD} никто не видел, что там порешали дяди, итоги сходки?",1
"{$POSI} рост без причины, признак резкого слива на хомяках ? мм гонит вверх видимо…",1
{$SPY} {$SFH3} {$NAH3} Когда такое было в последний раз?,0
"{$GAZP}

Интересно кто кидает сейчас по 1500 лотов каждые несколько секунд, выходит из позиции сливая все.
Или ведет вниз, параллельно откупаюсь еще ниже
И какой у него запас прочности",1
"{$ORUP} заработало, опять следим",0
{$ALRS} сможем ли мы в понедельник купить её по такой цене? Я думаю нет,0
{$BBBY} А Вы не верили брокеру,1
"{$FLOT} так так) кто тут писал что сбер и газ на отдых , а флот на взлет ? Так и получилось ???",1
"{$RNFT} интересно, какова вероятность того, что в понедельник, нерезеденты захотят усреднить свои имеющиеся акции",0
$USDRUB пи..сы,0
"{$LKOH}   Стоит ли покупать по текущей цене?
  Покупать надо было ранее по цене ниже 3 800. Публиковал ранее.",0
{$SBER} че куда? Какую новость увидим скоро?,0
"{$SELG} ну что доллар вверх, золотишко падает( надо брать на просадке",1
"Пока мой портфель совсем не исхудал ищу жену для серьёзных отношений со стасусом ""квал""))), с которой мы усредним и наконец поднимем мой потенциал))",1
"{$AFLT} эх этот азарт
Форекс отдыхает)
777. Казино всегда выгрывает!",0
{$LKOH}  мне пришли только 256 руб,0
{$BLUE} Потому что Иваны у руля,1
"Сегодня опасный день. А ещё нельзя торговать, потому что появились маржинальные позиции, которые невозможно закрыть, потому что Условия абсурдные.",0
"{$SPCE}, как продать то эту хрень? В какие часы торгуется?",0
"{$FXGD} {$TCSG} я уверено могу сказать, писали бы люди здесь, хоть по 10 комментов в день и отмечая Тинькофф, они бы нашли деньги и сами бы выкупили эти замороженные акции, как со своими фондами, потому что я помню, как тинькоф мне усилено рекомендовал, НЕ РИСКОВАТЬ и вложить сюда деньги.",1
{$SLDB} ну когда там уже пописят?! Хоть бы в ноль теперь выйти),1
"{$NGG3} {$NGH3} 

Уровень остался (2.68) - дальше которого ПОКА не хотят везти дальше вниз ? и обновлять лои, вопрос на долго ли ?!

А вот границы исходящего канала уже сдвинулись до отметки примерно 2.52 (все эти цифры разумеется по базе).

Всем профита и зелёного портфеля.",1
"Приветствую Вас, господа пульсяне ???

   Теперь у меня статус -
               Квалифицированного 
                                          инвестора ??",1
{$SKLZ} всем спасибо всем до завтра,0
{$GAZP} к закрытию в 0 выйдет весь рост ?,0
"{$SHOP} скинул это говно по стопу, спасибо рокет ту зе мун за ""прибыль""))) будет падать еще",1
{$USDRUB} зетовцы продаем бакс покупать скам рубль???,1
{$PIKK} Наташ урони его по-братски),1
"{$LKOH} Ща слив закончится, отрастет! Держать ряды!!!!",1
{$NVTA} все застопили наверху?? Что за казино!)))),1
"Два трейдера сидят за компьютерами — работают. Один отвлекается, смотрит в окно. Там первый снег. Мечтательно произносит: «Снег падает». Второй, не отрываясь от монитора: «Падает? Надо покупать».
{$PLZL} {$MGNT}",1
"{$BYSI} каждый день, новая боль? а в нашем клубе все стабильно, без объёма, дрожащие руки продают остатки, а ребята со стальными яйцами добирают позиции лимитками?",1
